NodeIdx,Region,D_susc_anderson,D_susc_arnold_mean,D_susc_arnold_std,z_susc,D_infl_anderson,D_infl_arnold_mean,D_infl_arnold_std,z_infl
41,R-CORTEX_GUSTATORY,492.325138903588,360.898125034738,12.4137842580183,10.5871836610949,492.325138903588,360.898125034738,12.4137842580183,10.5871836610949
5,L-CORTEX_TEMPORAL_ASSOC,225.847748520234,166.598333331276,5.75627231655822,10.2930181080079,225.847748520234,166.598333331276,5.75627231655822,10.2930181080079
38,R-CORTEX_TEMPORAL_ASSOC,286.925069171354,168.714021112011,16.2851306877753,7.25883324645836,286.925069171354,168.714021112011,16.2851306877753,7.25883324645836
55,R-MIDBRAIN,147.288846089045,117.513744859917,6.59614410388725,4.51401618281519,147.288846089045,117.513744859917,6.59614410388725,4.51401618281519
22,L-MIDBRAIN,134.932786400209,104.641355726108,7.86771000905931,3.85009496273022,134.932786400209,104.641355726108,7.86771000905931,3.85009496273022
10,L-PARAHIPPOCAMPAL/ENTORHINAL,175.302869069008,140.901465616262,9.61679079866157,3.57722281507194,175.302869069008,140.901465616262,9.61679079866157,3.57722281507194
43,R-PARAHIPPOCAMPAL/ENTORHINAL,218.095632849312,148.602687390934,20.0381599747185,3.46803027553703,218.095632849312,148.602687390934,20.0381599747185,3.46803027553703
34,R-CORTEX_VISUAL,134.871863780298,110.901045524304,8.13209499287011,2.94768055181481,134.871863780298,110.901045524304,8.13209499287011,2.94768055181481
4,L-CORTEX_AUDITORY,279.790382408213,199.515373934256,32.9123300349201,2.43905576994351,279.790382408213,199.515373934256,32.9123300349201,2.43905576994351
17,L-THALAMUS,119.692020149327,147.642717611309,11.7723775592789,-2.37426104635522,119.692020149327,147.642717611309,11.7723775592789,-2.37426104635522
40,R-CORTEX_INSULAR,293.49578780666,208.366673104096,36.3244955419794,2.34357321230192,293.49578780666,208.366673104096,36.3244955419794,2.34357321230192
32,L-GLOBAL_MASKS,342.260500193056,465.19104352344,52.7509500955543,-2.33039486696836,342.260500193056,465.19104352344,52.7509500955543,-2.33039486696836
58,R-CEREBELLUM,132.426604467669,129.659022988601,1.29121777324022,2.14338861842263,132.426604467669,129.659022988601,1.29121777324022,2.14338861842263
51,R-THALAMUS_VISUAL,481.058662471116,515.890014177777,16.8353660736879,-2.06893937168966,481.058662471116,515.890014177777,16.8353660736879,-2.06893937168966
37,R-CORTEX_AUDITORY,239.821928869857,210.09830221794,14.5816371481146,2.03842863116095,239.821928869857,210.09830221794,14.5816371481146,2.03842863116095
