NodeIdx,Region,D_susc_anderson,D_susc_arnold_mean,D_susc_arnold_std,z_susc,D_infl_anderson,D_infl_arnold_mean,D_infl_arnold_std,z_infl
37,R-CORTEX_AUDITORY,18.4567851762285,207.024453085527,12.9982871863997,-14.5071166073788,18.4567851762294,207.02445308558,12.9982871865843,-14.5071166071768
3,L-CORTEX_MOTOR,4154.32628144758,1461.93774482156,241.022793340279,11.1706801639498,4154.3262814478,1461.93774482199,241.022793341193,11.1706801639065
34,R-CORTEX_VISUAL,109.416154495197,2226.85505101353,376.360193861438,-5.62609683769559,109.416154495203,2226.85505101401,376.360193861466,-5.62609683769644
61,R-WHITE_MATTER,254.738560059195,1602.71093550065,260.406312255545,-5.17641974100322,254.738560059209,1602.71093550105,260.406312255997,-5.17641974099573
58,R-CEREBELLUM,180.67782011154,1336.67785557961,292.853626690901,-3.94736458800353,180.67782011155,1336.67785557988,292.853626690783,-3.94736458800603
38,R-CORTEX_TEMPORAL_ASSOC,7.58152431499907,362.719607420481,90.6254511257364,-3.91874554768012,7.58152431499945,362.719607420546,90.6254511256775,-3.91874554768338
55,R-MIDBRAIN,98.9841438781725,1013.02789258166,259.121378664117,-3.52747331546235,98.9841438781778,1013.02789258172,259.12137866311,-3.52747331547627
22,L-MIDBRAIN,141.716851452344,1471.61306617669,419.349216317539,-3.17133349241155,141.716851452352,1471.61306617703,419.349216317711,-3.17133349241105
23,L-PONS,254.447334680167,672.747362434322,137.12606612593,-3.05047785276658,254.447334680181,672.747362434378,137.126066125246,-3.05047785278211
50,R-THALAMUS,266.096729632224,1287.9723647854,355.874952021867,-2.87144579675387,266.096729632238,1287.97236478545,355.87495202056,-2.87144579676453
35,R-CORTEX_SOMATOSENSORY,881.778866382984,4611.00557505719,1369.38682536534,-2.7232821578222,881.778866383032,4611.00557505773,1369.38682536378,-2.72328215782566
26,L-OLFACTORY,8607.64547328603,2257.2906438829,2375.20960989812,2.67359764920937,8607.64547328649,2257.29064388329,2375.20960989803,2.67359764920951
57,R-MEDULLA,119.922673910979,597.4961206012,183.907522913833,-2.59681300211944,119.922673910986,597.496120601394,183.907522914252,-2.59681300211455
43,R-PARAHIPPOCAMPAL/ENTORHINAL,24.5077051799707,725.919978945048,274.034350434422,-2.55957792391042,24.507705179972,725.919978945275,274.0343504346,-2.55957792390958
41,R-CORTEX_GUSTATORY,0.792460370907456,22.4879632886804,8.47904822919445,-2.55871913112518,0.792460370907471,22.4879632886809,8.47904822918473,-2.55871913112817
46,R-BASALGANGLIA_STRIATUM,254.802655036152,1196.15561111575,370.887109264387,-2.53811182045842,254.802655036166,1196.15561111607,370.887109264757,-2.53811182045671
28,L-WHITE_MATTER,771.888472404569,1144.00919251322,147.567869739099,-2.52169202392476,771.888472404611,1144.00919251356,147.567869740255,-2.52169202390698
63,R-CRANIAL_NERVES,23.724628698474,107.554522281432,37.8026683501953,-2.21756551168232,23.7246286984753,107.554522281482,37.8026683503428,-2.21756551167497
2,L-CORTEX_SOMATOSENSORY,10585.4317980597,4457.53973161517,2860.47594224222,2.14226310242661,10585.4317980602,4457.53973161827,2860.47594224936,2.14226310242038
