node,L-CORTEX_VISUAL,L-CORTEX_SOMATOSENSORY,L-CORTEX_MOTOR,L-CORTEX_AUDITORY,L-CORTEX_TEMPORAL_ASSOC,L-CORTEX_PREFRONTAL,L-CORTEX_INSULAR,L-CORTEX_GUSTATORY,L-CORTEX_RETROSPLENIAL,L-PARAHIPPOCAMPAL/ENTORHINAL,L-HIPPOCAMPAL FORMATION,L-AMYGDALA,L-BASALGANGLIA_STRIATUM,L-BASALGANGLIA_PALLIDUM,L-SEPTUM,L-BASAL_FOREBRAIN,L-THALAMUS,L-THALAMUS_VISUAL,L-THALAMUS_AUDITORY,L-HYPOTHALAMUS,L-EPITHALAMUS/HABENULA,L-MIDBRAIN,L-PONS,L-MEDULLA,L-CEREBELLUM,L-OLFACTORY,L-LIMBIC_CORTEX,L-WHITE_MATTER,L-VENTRICLES_CSF,L-CRANIAL_NERVES,L-ISOCORTEX_MASK,L-GLOBAL_MASKS,L-BACKGROUND,R-CORTEX_VISUAL,R-CORTEX_SOMATOSENSORY,R-CORTEX_MOTOR,R-CORTEX_AUDITORY,R-CORTEX_TEMPORAL_ASSOC,R-CORTEX_PREFRONTAL,R-CORTEX_INSULAR,R-CORTEX_GUSTATORY,R-CORTEX_RETROSPLENIAL,R-PARAHIPPOCAMPAL/ENTORHINAL,R-HIPPOCAMPAL FORMATION,R-AMYGDALA,R-BASALGANGLIA_STRIATUM,R-BASALGANGLIA_PALLIDUM,R-SEPTUM,R-BASAL_FOREBRAIN,R-THALAMUS,R-THALAMUS_VISUAL,R-THALAMUS_AUDITORY,R-HYPOTHALAMUS,R-EPITHALAMUS/HABENULA,R-MIDBRAIN,R-PONS,R-MEDULLA,R-CEREBELLUM,R-OLFACTORY,R-LIMBIC_CORTEX,R-WHITE_MATTER,R-VENTRICLES_CSF,R-CRANIAL_NERVES,R-ISOCORTEX_MASK,R-GLOBAL_MASKS,R-BACKGROUND
L-CORTEX_VISUAL,7722.8941620000005,5166.505359,3789.679381,1572.318268,1590.1013209999999,1447.769959,45.274862,23.035472,6065.863368,8920.282218,3872.386218,921.558665,14593.003054,70.439615,3816.7516629999996,271.345685,3393.775254,108.115901,101.535329,696.990026,64.320409,2901.0757719999997,1520.059372,1921.5378620000001,4016.6086840000003,336.365686,374.803196,4561.0102099999995,1803.8206659999998,607.060152,6.852667,337.722535,0.0,1090.47318,225.526758,759.225512,328.632882,387.54284,1025.6822,60.803137,16.83324,613.388968,447.374957,626.870416,97.585052,3068.088508,5.287717,1835.891194,95.595352,3703.405823,16.923674,3.5474439999999996,439.379521,59.843896,1124.257288,273.081457,409.374815,2679.55634,139.817937,66.662074,650.793502,979.308581,415.116969,0.72293,590.723262,0.0
L-CORTEX_SOMATOSENSORY,5166.505359,19214.370754,1060.047722,9261.559223,1870.6084740000001,207.657018,70.376402,2.572366,5718.982853,4722.48764,4908.869653,1015.923603,3792.974998,221.193725,317.011774,74.32817200000001,3456.1991460000004,255.25199800000001,33.679377,434.801821,1653.972826,1407.298538,2910.6331660000005,1069.216682,1413.806153,3452.344489,621.116355,6048.658405,1634.973632,975.959334,168.017366,19.197304,0.0,5952.9272980000005,832.915757,586.018471,1284.573331,1171.104707,140.940352,76.63488,61.351417999999995,2125.667374,1914.687534,3576.1311410000003,112.19729799999999,933.013166,5.055606,220.330814,67.035743,1307.947643,54.487545,16.411813,438.726779,76.970961,1283.423428,640.46934,1054.052071,390.76653999999996,192.779095,306.267235,1599.646409,443.861263,1007.9531760000001,2.7233590000000003,27.698966,0.0
L-CORTEX_MOTOR,3789.679381,1060.047722,239.39145999999997,122.454899,161.11408799999998,55.334002999999996,14.186605,0.498553,397.790683,871.483965,987.977446,596.404922,466.529553,22.412511000000002,42.752462,11.234528000000001,1042.276394,11.026099,14.21669,236.435644,277.469696,102.751116,364.298527,106.442842,677.186514,629.55915,44.030042,757.935933,598.8601560000001,166.030987,27.775305000000003,3.547784,0.0,719.112022,1313.119795,147.11287099999998,1563.787862,354.604645,66.603746,88.866737,79.69399800000001,233.534557,542.143677,648.47506,53.297257,189.723566,9.67641,9.634557000000001,7.280870999999999,170.381105,18.523939,2.551399,238.223311,19.786197,123.020921,285.761017,140.98519,91.434495,154.71367,55.233228000000004,397.580271,102.914146,170.343035,1.698273,1.842569,0.0
L-CORTEX_AUDITORY,1572.318268,9261.559223,122.454899,475.37914,244.225751,36.103686,0.734655,16.961460000000002,2195.979152,368.623448,899.734911,171.07356399999998,2384.63613,2.4229,87.80122400000002,88.677598,174.997916,33.16326899999999,25.65248,53.301138,56.945341,1508.4915230000001,429.421648,664.933387,460.37035,145.492051,121.154974,822.535936,435.10488699999996,179.662981,6.49907,11.565636999999999,0.0,1356.613715,22.649223,101.037571,15.004578000000002,27.709668999999998,58.355979,3.3883900000000002,0.0,631.242807,150.145084,142.41950699999998,142.80884,127.77767,0.0,58.947303999999995,6.065244999999999,3719.237763,0.0,0.472143,20.397526,2.73286,940.09148,104.49969399999999,402.439843,2179.2932809999998,8.699366,5.080577,115.242048,1014.760999,85.732611,0.0,263.295741,0.0
L-CORTEX_TEMPORAL_ASSOC,1590.101321,1870.6084740000001,161.11408799999998,244.225751,119.05270200000001,27.972418,213.66892800000002,83.652069,560.034537,394.89212,208.955055,137.027621,8298.917527,7.05214,119.843031,59.896922,523.508147,139.824544,34.056940000000004,211.07627100000002,486.859831,2973.459184,652.473227,838.040937,1087.689001,1209.835032,144.842884,1406.5007659999999,332.057902,387.93490599999996,8.443979,67.663667,0.0,371.920643,58.757826,79.731315,17.774655,81.229222,27.525073999999996,4.069037,0.0,214.877664,113.811255,81.797221,28.904265000000002,120.073633,2.342878,49.50487,24.928586000000003,1539.016206,2.192333,0.0,82.295018,5.851934,346.595285,358.80956000000003,630.901089,1906.179554,28.259209000000002,9.478709,560.418129,786.228572,154.54566499999999,0.0,510.64825600000006,0.0
L-CORTEX_PREFRONTAL,1447.769959,207.657018,55.334003,36.103686,27.972418,4.1814860000000005,2.976338,0.274456,304.576455,274.89149199999997,286.891911,76.78972,99.894616,1.888565,111.13860600000001,13.399538,305.532606,11.085666,4.135027,446.609846,12.732408,83.531901,142.65781800000002,45.31174,162.999727,18.454273,36.864217000000004,391.826753,251.74797,209.978757,2.1030699999999998,0.8799710000000001,0.0,46.652779,539.231841,88.635369,203.736999,52.011565000000004,6.155887,16.059134,12.236713,25.670466,98.41537,52.694224999999996,10.259665,69.310648,6.203993,25.394768,9.143270999999999,48.550181,0.661911,0.0,119.786328,1.68964,25.180780000000002,48.596867,10.120038000000001,19.492564,16.106230999999998,4.846977,38.087295,11.482849,19.811041,0.0,0.0,0.0
L-CORTEX_INSULAR,45.274862,70.376402,14.186605,0.734655,213.66892800000002,2.976338,19.16928,3.75597,3.0562460000000002,253.689448,33.768876999999996,7.6529549999999995,80.147351,2.63138,6.616353,3.4725200000000003,73.52542,0.0,2.54243,35.067956,16.46083,129.24102,33.735461,22.782888999999997,105.845268,265.01367,13.35723,211.15095,23.249199,33.335469,0.0,0.0,0.0,11.834154,21.90075,32.768708,8.799508,14.789114000000001,3.9192549999999997,4.533933,0.0,5.73104,161.517195,65.919268,9.72412,121.233542,5.7565599999999995,2.6170400000000003,41.751315,55.831019,0.0,0.0,50.841977,3.19415,323.32548,98.327511,26.100175999999998,41.022994,69.939855,1.373912,159.098295,42.098238,96.105286,0.0,0.0,0.0
L-CORTEX_GUSTATORY,23.035472,2.572366,0.498553,16.96146,83.652069,0.274456,3.75597,0.0,1.882084,27.20458,3.825221,0.573029,0.302641,0.0,1.884553,0.0,8.570632,1.72422,0.0,0.930573,0.0,3.894545,13.893895,13.10105,2.73262,56.370400000000004,0.0,21.722936,0.780732,1.28199,0.0,0.0,0.0,5.452121,6.27749,3.4766280000000003,1.074894,1.18766,0.379138,1.13217,0.0,1.2002220000000001,21.641396999999998,5.6626460000000005,0.486606,8.885811,0.685227,0.0,0.0,7.105993,0.0,0.0,2.31596,0.373179,11.723377,5.153557,4.151855,4.05345,11.61381,0.0,16.895283,1.39209,6.15024,0.0,0.0,0.0
L-CORTEX_RETROSPLENIAL,6065.863368,5718.982853,397.790683,2195.9791520000003,560.034537,304.576455,3.056246,1.8820839999999999,1008.080054,2610.4570790000002,1221.60011,181.82463900000002,136.525365,4.817743,74.83893699999999,28.360968999999997,1158.023977,13.431761999999999,16.430092,224.32998,75.48401199999999,2405.239288,3694.5424249999996,5901.3717320000005,1601.610491,110.050051,21.284741,4272.035079,2488.193773,1084.172249,5.623414,121.05725299999999,0.0,1771.0492,495.400009,4618.707308,118.520593,104.414175,1846.613347,28.542127999999998,19.702339,1308.6356409999999,110.126785,708.529736,54.209612,1479.4209879999999,1.97638,237.36588700000001,50.920368999999994,490.359064,7.6644440000000005,1.553843,168.55999,28.860946999999996,294.05593,192.363776,723.4401839999999,761.450922,81.556146,229.68255,617.482798,308.443034,245.677135,1.0523500000000001,136.86341000000002,0.0
L-PARAHIPPOCAMPAL/ENTORHINAL,8920.282218,4722.48764,871.483965,368.623448,394.89212,274.891492,253.689448,27.20458,2610.4570790000002,328.536852,2071.228198,904.519844,8395.29016,64.253344,814.278688,2463.45166,1402.1952820000001,284.635257,84.17855099999998,2329.908777,1427.072411,3232.120711,2313.817492,845.973508,1741.82496,4771.303094999999,168.98970300000002,6249.498058,1282.019323,925.0596459999999,152.8138,14.52303,0.0,466.484855,66.238977,253.40804699999998,65.225813,145.243535,114.739185,16.545344,0.0,199.895281,205.205817,244.945313,47.414058,306.127642,6.935775,60.951217,152.185132,598.932927,3.068848,0.549841,438.100696,6.507335,372.057301,431.14419300000003,432.07419799999997,1257.060571,86.40650500000001,7.6189789999999995,468.03001,420.899599,239.486227,0.0,459.3552,0.0
