compact_idx,raw_id,base_raw_id,hemi,name,name_pretty
641,2077,77,R,R-AON,R-OLFACTORY
642,2086,86,R,R-AP,R-MEDULLA
643,2089,89,R,R-APN,R-MIDBRAIN
644,2090,90,R,R-AQ,R-VENTRICLES_CSF
645,2092,92,R,R-ARH,R-HYPOTHALAMUS
646,2094,94,R,R-AT,R-THALAMUS
647,2098,98,R,R-AUDd1,R-CORTEX_AUDITORY
648,2099,99,R,R-AUDd2-3,R-CORTEX_AUDITORY
649,2100,100,R,R-AUDd4,R-CORTEX_AUDITORY
650,2101,101,R,R-AUDd5,R-CORTEX_AUDITORY
651,2102,102,R,R-AUDd6a,R-CORTEX_AUDITORY
652,2105,105,R,R-AUDp1,R-CORTEX_AUDITORY
653,2106,106,R,R-AUDp2-3,R-CORTEX_AUDITORY
654,2107,107,R,R-AUDp4,R-CORTEX_AUDITORY
655,2108,108,R,R-AUDp5,R-CORTEX_AUDITORY
656,2110,110,R,R-AUDp6b,R-CORTEX_AUDITORY
657,2112,112,R,R-AUDpo1,R-CORTEX_AUDITORY
658,2113,113,R,R-AUDpo2-3,R-CORTEX_AUDITORY
659,2114,114,R,R-AUDpo4,R-CORTEX_AUDITORY
660,2115,115,R,R-AUDpo5,R-CORTEX_AUDITORY
661,2117,117,R,R-AUDpo6b,R-CORTEX_AUDITORY
662,2119,119,R,R-AUDv1,R-CORTEX_AUDITORY
663,2120,120,R,R-AUDv2-3,R-CORTEX_AUDITORY
664,2121,121,R,R-AUDv4,R-CORTEX_AUDITORY
665,2122,122,R,R-AUDv5,R-CORTEX_AUDITORY
666,2124,124,R,R-AUDv6b,R-CORTEX_AUDITORY
667,2125,125,R,R-AV,R-THALAMUS
668,2126,126,R,R-AVP,R-THALAMUS
669,2127,127,R,R-AVPV,R-HYPOTHALAMUS
670,2128,128,R,R-B,R-BASAL_FOREBRAIN
671,2129,129,R,R-BA,R-BASAL_FOREBRAIN
672,2132,132,R,R-bic,R-WHITE_MATTER
673,2134,134,R,R-BLAa,R-AMYGDALA_BLA
674,2135,135,R,R-BLAp,R-AMYGDALA_BLA
675,2136,136,R,R-BLAv,R-AMYGDALA_BLA
676,2138,138,R,R-BMAa,R-AMYGDALA_BMA
677,2139,139,R,R-BMAp,R-AMYGDALA_BMA
678,2141,141,R,R-bsc,R-WHITE_MATTER
679,2142,142,R,R-BST,R-SEPTUM
680,2161,161,R,R-CA1,R-HIPPOCAMPAL FORMATION
681,2166,166,R,R-CA2,R-HIPPOCAMPAL FORMATION
682,2171,171,R,R-CA3,R-HIPPOCAMPAL FORMATION
683,2177,177,R,R-CB,R-CEREBELLUM
684,2178,178,R,R-cbc,R-CEREBELLUM
685,2188,188,R,R-ccg,R-WHITE_MATTER
686,2190,190,R,R-ccs,R-WHITE_MATTER
687,2193,193,R,R-CEAc,R-AMYGDALA_CE
688,2194,194,R,R-CEAl,R-AMYGDALA_CE
689,2195,195,R,R-CEAm,R-AMYGDALA_CE
690,2197,197,R,R-CENT2,R-CEREBELLUM
691,2201,201,R,R-CENT3,R-CEREBELLUM
692,2208,208,R,R-chpl,R-VENTRICLES_CSF
693,2209,209,R,R-cic,R-MIDBRAIN
694,2210,210,R,R-cing,R-LIMBIC_CORTEX
695,2212,212,R,R-CLA,R-LIMBIC_CORTEX
696,2213,213,R,R-CLI,R-LIMBIC_CORTEX
697,2214,214,R,R-CM,R-THALAMUS
698,2221,221,R,R-COAa,R-AMYGDALA_CORTICAL
699,2226,226,R,R-COApl,R-AMYGDALA_CORTICAL
700,2231,231,R,R-COApl3,R-AMYGDALA_CORTICAL
701,2238,238,R,R-COPY,R-GLOBAL_MASKS
702,2242,242,R,R-CP,R-BASALGANGLIA_STRIATUM
