node,L-CORTEX_VISUAL,L-CORTEX_SOMATOSENSORY,L-CORTEX_MOTOR,L-CORTEX_AUDITORY,L-CORTEX_TEMPORAL_ASSOC,L-CORTEX_PREFRONTAL,L-CORTEX_INSULAR,L-CORTEX_GUSTATORY,L-CORTEX_RETROSPLENIAL,L-PARAHIPPOCAMPAL/ENTORHINAL,L-HIPPOCAMPAL FORMATION,L-AMYGDALA,L-BASALGANGLIA_STRIATUM,L-BASALGANGLIA_PALLIDUM,L-SEPTUM,L-BASAL_FOREBRAIN,L-THALAMUS,L-THALAMUS_VISUAL,L-THALAMUS_AUDITORY,L-HYPOTHALAMUS,L-EPITHALAMUS/HABENULA,L-MIDBRAIN,L-PONS,L-MEDULLA,L-CEREBELLUM,L-OLFACTORY,L-LIMBIC_CORTEX,L-WHITE_MATTER,L-VENTRICLES_CSF,L-CRANIAL_NERVES,L-ISOCORTEX_MASK,L-GLOBAL_MASKS,L-BACKGROUND,R-CORTEX_VISUAL,R-CORTEX_SOMATOSENSORY,R-CORTEX_MOTOR,R-CORTEX_AUDITORY,R-CORTEX_TEMPORAL_ASSOC,R-CORTEX_PREFRONTAL,R-CORTEX_INSULAR,R-CORTEX_GUSTATORY,R-CORTEX_RETROSPLENIAL,R-PARAHIPPOCAMPAL/ENTORHINAL,R-HIPPOCAMPAL FORMATION,R-AMYGDALA,R-BASALGANGLIA_STRIATUM,R-BASALGANGLIA_PALLIDUM,R-SEPTUM,R-BASAL_FOREBRAIN,R-THALAMUS,R-THALAMUS_VISUAL,R-THALAMUS_AUDITORY,R-HYPOTHALAMUS,R-EPITHALAMUS/HABENULA,R-MIDBRAIN,R-PONS,R-MEDULLA,R-CEREBELLUM,R-OLFACTORY,R-LIMBIC_CORTEX,R-WHITE_MATTER,R-VENTRICLES_CSF,R-CRANIAL_NERVES,R-ISOCORTEX_MASK,R-GLOBAL_MASKS,R-BACKGROUND
L-MEDULLA,477.868695,525.067173,535.775356,8.376105,727.0273900000001,274.29478700000004,46.400093999999996,24.136765999999998,136.860428,1292.5949,136.452798,380.729808,262.418992,3.6813480000000003,39.391095,89.056533,4283.6539,21.844607,7.366795000000001,429.652742,86.032123,2878.2470660000004,3070.216107,9036.818814,1296.492922,513.969082,17.869106000000002,2566.590118,980.235471,1528.9877009999998,1.263981,112.220086,0.0,11011.135739000001,7792.373616,2216.699251,151.220572,586.658678,461.363855,136.44463,14.681082,2677.749651,18.035654,1819.261308,88.224396,426.884664,17.365426,22.32633,138.707467,1290.542911,671.3731670000001,15.186842,603.928579,13.682984,1770.161784,1060.528436,3625.911056,678.6155339999999,721.865191,4.756969,2050.385931,201.772867,447.842677,0.0,34.972902000000005,0.0
L-CEREBELLUM,1129.538228,1564.966834,701.877912,158.631311,858.7786649999999,337.719785,362.364911,180.915822,1240.883057,3059.185724,270.91292500000003,608.325797,1149.409795,20.85052,95.80128400000001,290.20561399999997,10533.773535,37.846488,3.4701779999999998,1250.774843,329.637158,3246.548881,1749.497451,1296.492922,8567.39656,1835.9379149999997,23.192425,5113.678395999999,1967.4338269999998,518.8068000000001,11.50081,1656.502699,0.0,2034.731287,701.904734,981.7632679999999,31.54747,1224.660144,290.787844,116.046301,13.532559,1420.405368,51.554966,293.80449799999997,1043.9985760000002,1047.752528,176.10525,39.741527,155.48336799999998,720.907478,4.488748999999999,0.579768,2097.247334,5.141230999999999,3735.717256,4248.489338,1169.593233,3275.0150719999997,888.2691120000001,12.582327999999999,5201.581271999999,1347.001004,1131.350538,0.0,72.24723,0.0
L-OLFACTORY,17127.818033,20353.67882,13061.891185,3311.095301,1813.648478,4118.9369369999995,2540.82071,501.24052000000006,711.340727,3789.390899,944.0286100000001,1009.384558,5834.248295,201.986985,243.413331,967.1066140000001,2405.505805,81.814853,13.787645999999999,740.844535,443.67438,1201.690408,552.594096,513.969082,1835.937915,3226.49458,110.979194,3849.03509,1405.35242,508.232792,28.039119999999997,101.356254,0.0,894.7571220000001,302.869383,1045.705075,104.7355,110.268546,1662.943644,169.21464,12.659437,159.104448,61.028334,89.407866,96.47265399999999,656.362305,16.78965,73.851181,226.33685499999999,3784.3922300000004,4.925413,0.0,322.616002,18.626707,478.088281,64.941925,455.939688,3044.794757,1868.616783,11.471309999999999,2463.0490259999997,1530.47768,133.264337,0.0,601.8453489999999,0.0
L-LIMBIC_CORTEX,388.18627399999997,423.75714999999997,275.92566,31.6671,8.66628,32.509343,2.7322360000000003,0.0,43.373905,24.30327,12.443484999999999,15.49534,64.91201000000001,7.75771,23.912052,29.53092,44.776241,6.28204,0.770205,16.153763,0.0,40.283727999999996,7.99274,17.869106,23.192425,110.979194,0.0,42.442601,13.88167,7.549093,0.0,1.47436,0.0,42.264292,17.04282,77.170445,8.136084,2.1819,35.455945,12.69867,0.77225,17.962944999999998,2.46521,5.355443,2.84592,37.47524,0.0,1.46125,19.43769,136.86638,0.0,0.0,10.869039,0.569436,9.558977,3.74126,1.055532,49.800176,79.14406500000001,1.85206,43.382980999999994,14.84219,1.2400479999999998,0.0,6.081507,0.0
L-WHITE_MATTER,6874.355508,6017.752582,1123.735324,768.0139879999999,1106.3450030000001,513.3617840000001,686.76122,151.28313799999998,791.941313,2698.353064,492.018549,751.803864,1627.4419629999998,30.019637,299.35112200000003,416.98340199999996,6554.864164,26.872650999999998,6.169403,977.42838,451.293452,1399.427215,1649.64261,2566.590118,5113.678396,3849.03509,42.442600999999996,1846.777332,1382.055431,785.234029,31.470959999999998,156.63924,0.0,2657.579062,2838.426691,4099.831509000001,108.741007,239.82407,477.134086,202.903589,14.271749999999999,1628.028876,127.382609,656.76859,280.68901600000004,780.956911,65.29063,194.152954,259.912508,2375.095499,86.30361500000001,0.0,900.426119,22.487782,1301.280647,2469.8808320000003,1350.631206,4659.655989999999,1935.25223,18.686856,3926.419852,2812.961799,448.25717199999997,4.501361,402.49989999999997,0.0
L-VENTRICLES_CSF,974.9479249999999,556.749201,312.25192499999997,63.286882,582.50916,186.001294,123.634584,32.003177,699.621139,1102.966189,142.410797,309.07692699999996,555.509762,18.6862,123.37027099999999,103.85359,3142.574864,7.169793,3.8681650000000003,216.24484999999999,112.70639,741.2959519999999,1578.810572,980.2354710000001,1967.4338269999998,1405.3524200000002,13.88167,1382.055431,351.9889,195.52351299999998,6.6291899999999995,392.78489,0.0,544.174884,315.617689,1223.054317,26.153937,454.31696,204.523488,56.973290999999996,0.757202,1036.908334,73.91138099999999,79.751882,78.11335799999999,242.177391,27.54534,53.52077,109.07262,406.681753,7.650239999999999,0.0,429.335168,1.904845,850.862137,1229.21284,526.058602,872.345539,588.671923,2.93702,1025.634795,207.031326,198.94824,0.0,23.45201,0.0
L-CRANIAL_NERVES,1404.921397,616.6585,112.85305199999999,78.167716,63.112767,46.046107,81.388242,27.589475,191.693238,436.33373,138.351695,189.624732,337.47281000000004,94.703323,199.71799499999997,123.32505,886.095464,1.6066239999999998,0.0,485.289537,98.50763,668.696166,884.172297,1528.9877009999998,518.8068000000001,508.232792,7.549093,785.234029,195.523513,182.74909,1.63916,13.4741,0.0,536.513721,2262.3367590000003,2553.92928,19.349792,66.78448900000001,194.20504,49.396974,7.802419999999999,132.711142,58.897489,353.20625600000005,38.522079,324.3399,19.306055,207.611104,111.79926,1460.480483,169.49407,0.794255,327.536922,5.571540000000001,454.896211,218.883521,585.647154,615.930791,1006.88314,12.085799999999999,753.605772,251.522701,164.02500700000002,0.0,114.51711,0.0
L-ISOCORTEX_MASK,17.082664,27.691539,109.94714200000001,0.887175,3.85426,0.0,3.4347399999999997,0.0,0.0,26.732736,4.79367,4.85007,18.4682,0.0,0.0,0.0,8.26124,0.0,0.0,1.82878,0.0,4.821478,3.61631,1.263981,11.50081,28.039119999999997,0.0,31.470959999999998,6.6291899999999995,1.63916,0.0,1.24228,0.0,2.597322,2.23126,2.2045,0.0,3.02128,0.0,0.0,0.0,0.0,0.0,1.52971,0.853677,0.0,0.0,0.0,0.0,5.804006,0.0,0.0,2.25657,0.0,0.0,0.0,11.016507,9.54757,0.0,0.0,6.7177679999999995,5.50409,0.89086,0.0,6.02131,0.0
L-GLOBAL_MASKS,32.878629,77.912003,40.95227,8.623818,94.136054,24.7659,13.590799,0.6765,94.625358,427.65589,21.511698000000003,52.996789,31.200899999999997,0.0,2.601944,3.59234,1550.785213,0.692827,1.15784,14.06568,18.26019,531.22191,69.463768,112.220086,1656.502699,101.356254,1.47436,156.63924,392.78489,13.4741,1.24228,0.0,0.0,59.667528,5.301284,13.901037,2.287109,71.13863199999999,15.304803,0.0,1.21709,371.87685799999997,0.0,1.03004,0.0,9.14848,0.0,0.0,0.0,27.224712,0.0,0.0,19.3375,0.0,879.169413,36.888729000000005,149.1611,1191.2606999999998,21.657043,0.747545,151.28952999999998,66.9734,20.31418,0.0,0.0,0.0
L-BACKGROUND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
