node,L-CORTEX_VISUAL,L-CORTEX_SOMATOSENSORY,L-CORTEX_MOTOR,L-CORTEX_AUDITORY,L-CORTEX_TEMPORAL_ASSOC,L-CORTEX_PREFRONTAL,L-CORTEX_INSULAR,L-CORTEX_GUSTATORY,L-CORTEX_RETROSPLENIAL,L-PARAHIPPOCAMPAL/ENTORHINAL,L-HIPPOCAMPAL FORMATION,L-AMYGDALA,L-BASALGANGLIA_STRIATUM,L-BASALGANGLIA_PALLIDUM,L-SEPTUM,L-BASAL_FOREBRAIN,L-THALAMUS,L-THALAMUS_VISUAL,L-THALAMUS_AUDITORY,L-HYPOTHALAMUS,L-EPITHALAMUS/HABENULA,L-MIDBRAIN,L-PONS,L-MEDULLA,L-CEREBELLUM,L-OLFACTORY,L-LIMBIC_CORTEX,L-WHITE_MATTER,L-VENTRICLES_CSF,L-CRANIAL_NERVES,L-ISOCORTEX_MASK,L-GLOBAL_MASKS,L-BACKGROUND,R-CORTEX_VISUAL,R-CORTEX_SOMATOSENSORY,R-CORTEX_MOTOR,R-CORTEX_AUDITORY,R-CORTEX_TEMPORAL_ASSOC,R-CORTEX_PREFRONTAL,R-CORTEX_INSULAR,R-CORTEX_GUSTATORY,R-CORTEX_RETROSPLENIAL,R-PARAHIPPOCAMPAL/ENTORHINAL,R-HIPPOCAMPAL FORMATION,R-AMYGDALA,R-BASALGANGLIA_STRIATUM,R-BASALGANGLIA_PALLIDUM,R-SEPTUM,R-BASAL_FOREBRAIN,R-THALAMUS,R-THALAMUS_VISUAL,R-THALAMUS_AUDITORY,R-HYPOTHALAMUS,R-EPITHALAMUS/HABENULA,R-MIDBRAIN,R-PONS,R-MEDULLA,R-CEREBELLUM,R-OLFACTORY,R-LIMBIC_CORTEX,R-WHITE_MATTER,R-VENTRICLES_CSF,R-CRANIAL_NERVES,R-ISOCORTEX_MASK,R-GLOBAL_MASKS,R-BACKGROUND
L-CORTEX_VISUAL,7183.291964,11463.689791,2734.378665,2394.832015,3299.587084,1873.832138,1129.864763,69.020063,8358.786795999999,17115.293779,3694.015538,469.858849,2520.141023,14.201498999999998,165.779358,138.131299,3401.769917,87.07281499999999,89.053502,902.692982,318.103794,6050.201194,2641.517628,2735.5553210000003,2804.90016,2650.261644,889.4941880000001,4574.788022,2063.653482,1550.104355,20.366509999999998,99.617391,0.0,1104.873546,4326.702976,8374.015553,87.094183,644.190165,3348.46832,614.636854,334.596083,630.577753,1674.412097,674.339677,111.553491,5069.037955,44.129276000000004,203.884772,126.06804,1438.066443,72.481709,36.174821,538.883183,218.661809,1857.897996,1252.349707,2030.397477,1858.773125,997.478427,323.148538,2288.79586,1208.533643,679.37609,27.05093,250.11240600000002,0.0
L-CORTEX_SOMATOSENSORY,11463.689791,25104.473476,21902.395505,1848.932147,5724.075847,4742.249309,6573.865665,1972.008652,4417.386561,3158.074532,1776.3803870000002,712.132513,14421.827135000001,12.010489,192.429609,281.78801400000003,4136.225233,336.38804600000003,116.335759,525.249328,373.128219,6772.974555,2110.910153,1202.204365,2208.740366,10826.876924,1543.047302,9244.495783999999,1796.943066,1482.041289,38.192424,0.0,0.0,3779.071039,1517.667998,875.938517,136.886809,320.261601,2120.630603,373.907829,88.380861,1002.48385,2486.285803,675.439408,352.365368,2715.725307,67.695538,84.06289100000001,152.193655,2802.988462,17.123156,10.480207,539.8933499999999,183.73724900000002,3316.690835,1928.1103679999999,3909.409292,4174.399582999999,1505.644971,158.506142,4159.018712,2375.262335,808.5633560000001,29.518869,502.38243700000004,0.0
L-CORTEX_MOTOR,2734.378665,21902.395505,871.890386,1024.0890160000001,538.122174,512.5255080000001,2224.615682,1148.7370779999999,153.308867,395.594298,116.117613,1213.124646,1594.2473850000001,3.881461,263.736581,49.507085000000004,1094.937391,9.795254,0.0,354.367281,43.38258199999999,230.939704,199.987739,32.453218,644.9883940000001,7463.729182,332.56101,931.817466,414.47985099999994,320.161708,3.742009,0.0,0.0,5496.252996,1241.473796,292.208469,343.387914,804.328002,108.40793500000001,155.77935399999998,76.552914,395.421475,4645.7426590000005,1885.381777,47.325901,585.544952,50.754677,61.510884,37.27956399999999,1268.315057,53.366484,109.094904,96.415509,17.680068000000002,531.244852,164.696774,84.326066,320.436428,267.21106499999996,55.886495,1063.203985,156.497785,246.098752,0.33861,1.852808,0.0
L-CORTEX_AUDITORY,2394.832015,1848.932147,1024.0890160000001,803.830246,680.913064,2175.313614,71.543735,16.684181,244.64955799999998,504.643173,751.887005,597.716667,11064.516787,17.284359000000002,470.968743,465.100531,789.074347,28.302797,23.271229,148.507834,64.16524,2141.888542,834.47282,1094.094681,357.133354,2651.50027,178.595262,1936.812124,448.59233500000005,1227.519812,19.868695000000002,0.0,0.0,232.648327,121.016823,425.460371,5.9609939999999995,63.75051200000001,1097.899654,54.856398,14.735256,61.496199000000004,295.328029,58.851406,21.672317,2017.09518,5.859092,185.158598,78.91295600000001,165.610835,2.14161,3.181627,137.401473,32.484192,703.60865,1047.903484,2246.973348,283.928934,497.153362,85.171969,1237.071954,189.34394600000002,132.24544,2.8913320000000002,44.491896,0.0
L-CORTEX_TEMPORAL_ASSOC,3299.587084,5724.075847,538.122174,680.913064,234.043328,154.550375,200.81408199999998,25.125321,250.144119,1089.495696,1674.4488860000001,619.56089,9865.412527,15.513764,278.77394300000003,1333.207751,663.983924,77.213105,13.746779,674.166123,349.04194299999995,1403.1111720000001,1698.120825,3469.873243,665.820062,1820.877827,245.051073,2801.162246,832.9282200000001,2353.933299,43.99243,1.21523,0.0,1003.960159,160.786933,637.549876,1.6258409999999999,107.698494,218.89686,56.474003,15.850552,282.86447999999996,206.508834,280.821415,50.13453,2590.489609,11.872569,209.647725,291.504142,126.689617,0.785706,2.473218,180.371274,40.373415,304.424601,611.10998,2683.215154,121.23058499999999,388.789674,60.270132000000004,1042.311676,115.17810700000001,177.156565,7.417695,19.65645,0.0
L-CORTEX_PREFRONTAL,1873.832138,4742.249309,512.525508,2175.313614,154.550375,133.394622,33.451101,1.423019,24.143746999999998,83.207946,29.155684,92.473009,983.228095,0.0,16.800361,6.3957619999999995,93.951362,0.0,0.866186,113.792657,8.328251,86.677765,30.598543,10.088154,158.34199,534.174242,21.808806,259.782127,18.10984,30.843928000000002,4.346431,0.0,0.0,804.76328,291.990843,177.490721,143.846486,916.444855,217.67836999999997,99.253375,45.182412,19.068811,2271.561752,546.310886,38.177549,180.016153,12.190549,73.128525,4.121017,605.4310439999999,33.897314,30.115164,81.352849,10.900172999999999,135.803945,48.548353999999996,20.751664,344.798525,175.13029,35.448167000000005,328.162905,37.363607,62.765025,1.948467,0.262497,0.0
L-CORTEX_INSULAR,1129.864763,6573.865665,2224.615682,71.543735,200.81408199999998,33.451101,1786.04036,540.85966,38.437889,57.715788,1529.9595370000002,245.72177700000003,1765.9029450000003,3.222909,8.142172,100.34092899999999,109.268737,3.65017,1.95829,1272.798086,392.97293,536.427015,32.91217,24.643309000000002,67.883852,1664.185793,330.48308000000003,890.538199,89.834012,845.3103910000001,34.68229,0.0,0.0,162.345346,449.94545999999997,85.981613,13.319398,39.104559,9.227031,54.761921,28.303703,104.464102,486.982088,338.35467300000005,267.033049,601.200485,140.791365,12.888777,35.053819,187.239138,18.12072,0.0,2503.3987740000002,4.271956,363.815551,629.571172,84.70091000000001,191.181356,476.69158899999996,4.616581,658.607543,81.367425,1110.331242,0.833584,0.0,0.0
L-CORTEX_GUSTATORY,69.020063,1972.008652,1148.7370779999999,16.684181000000002,25.125321,1.423019,540.85966,61.74506,11.629395,96.498119,47.359601999999995,13.675212,57.402207,5.786534,1.565616,3.931672,75.06509,3.840352,0.0,326.90255,2.6348599999999998,150.887875,13.569936,3.9390349999999996,17.617018,124.726227,37.81335,96.83552399999999,5.531173,116.87581399999999,1.42424,1.42222,0.0,122.34307,308.391643,74.470434,15.450707000000001,15.47112,1.340613,73.557317,23.943234,61.900446,508.249401,178.050697,115.542915,713.3707059999999,39.112567000000006,6.326048,73.401113,146.13145,10.67772,1.71978,710.151889,19.50532,407.479301,290.833479,29.713517,27.778854000000003,455.846858,4.442125,525.6198340000001,200.019238,383.187895,4.608708,0.0,0.0
L-CORTEX_RETROSPLENIAL,8358.786796,4417.386561,153.308867,244.649558,250.144119,24.143747,38.437889,11.629395,947.2573580000001,6202.959858,552.962844,480.740425,55.410125,1.371417,7.13352,14.904693,271.264623,14.017447,8.254256,241.707068,13.301515,1476.935596,2085.995178,1740.0794700000001,356.47759,482.81284,45.628697,2448.541932,2245.76004,573.363916,0.38554,4.10203,0.0,1805.507325,4632.36483,2334.217326,92.09881899999999,301.058091,46.402529,86.23873,51.465495000000004,1038.323096,390.381882,440.1132,19.338403,366.395409,6.367809,13.926056,14.240577,753.6360480000001,44.296642,12.949897,111.57283199999999,35.552153000000004,1376.730203,486.26931999999994,1483.088988,561.729003,157.180547,37.371948,931.300731,258.95214,130.500023,2.847299,70.546948,0.0
L-PARAHIPPOCAMPAL/ENTORHINAL,17115.293779,3158.074532,395.594298,504.643173,1089.495696,83.20794599999999,57.715787999999996,96.498119,6202.959858,9463.128738,1816.321033,1422.9244469999999,6526.19369,1.211973,174.138572,1991.827283,2589.687796,82.0596,378.830791,974.7330250000001,33.214695999999996,2087.951386,1556.120018,2332.425859,390.326967,1118.7178410000001,159.68576299999998,4088.4868149999998,2008.3503420000002,2026.008002,5.764123,16.068772,0.0,217.575808,422.084489,1927.8371579999998,17.565793,22.325668,224.85996200000002,44.487042,12.041495000000001,460.57141,82.734672,56.897621,135.003495,3558.2749,14.70709,321.065603,586.49728,140.869154,4.627161,1.21626,176.52984800000002,32.74476,127.10612,178.180497,788.127539,114.482733,251.92706700000002,30.420857999999996,528.96339,78.161436,189.05578,4.278557,10.202088999999999,0.0
L-HIPPOCAMPAL FORMATION,3694.015538,1776.380387,116.11761299999999,751.887005,1674.448886,29.155684,1529.9595370000002,47.359601999999995,552.962844,1816.321033,885.341392,247.86579600000002,305.316409,5.016578,61.166589,201.39394499999997,737.844196,101.01336,50.910464,170.796511,20.67819,1323.600743,850.481631,361.532061,680.6852289999999,2413.161422,19.646437,1233.688004,312.094644,645.651839,3.82702,8.99608,0.0,433.717322,392.072385,224.799347,9.677891,98.660486,48.233972,102.457727,27.758119,890.605575,1065.87851,146.133502,106.173401,1548.03478,13.404922000000001,65.643407,146.016459,1700.3413050000001,6.994756,51.950594,87.561727,43.348698999999996,946.921598,313.351944,1007.7908869999999,1064.657376,274.11734,37.740841,871.2920369999999,390.636262,208.93792200000001,9.4671,74.66494,0.0
L-AMYGDALA,469.858849,712.132513,1213.1246459999998,597.716667,619.56089,92.473009,245.721777,13.675211999999998,480.740425,1422.9244469999999,247.865796,70.04584,551.26911,60.318059999999996,192.472292,130.02006699999998,1266.5106369999999,64.53031,3.28515,116.417143,22.229871,380.270979,614.079104,95.20254200000001,370.956596,3192.183958,19.625989999999998,618.430325,437.1411,88.397815,1.29792,30.8232,0.0,133.384758,273.355729,1232.270831,11.588074,42.792189,202.53676199999998,140.67909400000002,44.02607999999999,704.151204,399.356223,105.399421,57.425413,1074.596869,17.2513,153.457857,60.823612,224.134955,1.81909,11.15377,85.725505,8.475081,479.786311,140.881075,96.104583,94.453048,323.489933,41.239580000000004,432.97634,130.881484,59.547160000000005,0.993998,7.969045,0.0
L-BASALGANGLIA_STRIATUM,2520.141023,14421.827135,1594.247385,11064.516787,9865.412527,983.2280949999999,1765.9029450000003,57.402207,55.410125,6526.19369,305.316409,551.26911,5321.04936,7.858185,632.327464,191.152553,764.505226,42.677785,3.5426610000000003,865.498748,72.938993,420.003369,514.191214,35.238597999999996,487.064644,9916.825529,72.34622999999999,1086.001168,80.67877,500.83852700000006,15.5442,1.92665,0.0,192.340618,815.023401,2218.756157,53.346818,221.545663,1704.18289,214.86529000000002,70.053447,88.164938,2659.593865,788.650828,1767.3369460000001,1186.19143,496.644134,547.240452,111.15997399999999,2915.613319,37.414699999999996,26.807854,3493.484934,38.355256,1098.838475,3232.1552279999996,125.411071,1272.962583,5354.34453,70.82777,2528.251953,398.123018,1774.6424630000001,5.297324,3.843324,0.0
L-BASALGANGLIA_PALLIDUM,14.201499,12.010489,3.881461,17.284359,15.513763999999998,0.0,3.222909,5.786534,1.371417,1.211973,5.016578,60.318059999999996,7.858185,0.0,0.0,13.215620000000001,0.575961,3.32174,0.0,28.321728999999998,0.0,2.3667,0.0,0.0,0.0,21.166829999999997,0.0,18.44059,3.2376370000000003,7.500859999999999,0.0,0.0,0.0,4.747627,20.69174,22.339625,1.48133,0.0,1.03892,1.04846,0.0,4.21018,4.034651,7.140118,2.279637,283.09497,0.0,2.677083,43.304,0.0,0.0,0.0,58.6332,0.0,10.018166,5.435854000000001,0.816533,0.0,6.187988,0.76892,45.039552,4.0164670000000005,16.14951,1.34425,0.0,0.0
L-SEPTUM,165.779358,192.429609,263.736581,470.968743,278.77394300000003,16.800361,8.142172,1.565616,7.133520000000001,174.138572,61.166588999999995,192.472292,632.327464,0.0,43.161262,13.565436000000002,263.55854700000003,9.719742,0.960989,18.458844,0.0,92.830201,34.266511,12.334482,51.423153,257.554077,20.437711,158.084623,12.368098,39.60956899999999,0.0,0.0,0.0,33.507373,73.213952,195.828385,4.582312,30.323458,200.888001,17.330173000000002,5.358585,6.682365,435.45338899999996,58.77943,26.915212000000004,310.851988,10.213224,29.233673999999997,12.118645,162.013822,6.8116699999999994,13.306095,35.623791,1.788489,197.064457,226.93176400000002,24.781190999999996,62.081582,623.6006839999999,57.89845,429.132537,24.073392000000002,35.513949999999994,0.0,0.348344,0.0
L-BASAL_FOREBRAIN,138.131299,281.788014,49.507085,465.100531,1333.207751,6.395762,100.34092899999999,3.931672,14.904693,1991.827283,201.393945,130.020067,191.152553,13.215620000000001,13.565436000000002,3.41024,141.315328,6.05085,3.88185,117.102412,11.165479999999999,54.997801,61.419747,10.910265,51.535151,627.5944939999999,0.604912,162.750966,12.650961,81.81405,3.39487,0.0,0.0,26.261679,36.019069,203.62707,1.948875,15.036909999999999,33.734648,20.645569,2.341836,13.343696,15.724405999999998,11.39543,154.449906,278.793989,6.708720000000001,26.305084,14.256339999999998,21.652097,0.0,0.0,390.606187,4.817447,60.617239,67.859429,27.010576,6.417721,281.342657,7.299665,240.24189,23.702184,128.69539,1.08388,0.0,0.0
L-THALAMUS,3401.769917,4136.225233,1094.937391,789.074347,663.983924,93.951362,109.268737,75.06509,271.264623,2589.687796,737.844196,1266.5106369999999,764.505226,0.575961,263.55854700000003,141.315328,4396.112452,31.664257999999997,23.410308,467.90212,1.255678,2556.9633759999997,922.960029,1085.772036,10912.5481,1534.374682,10.173579,2408.479928,2992.300748,1400.5160999999998,2.12135,1011.9246,0.0,335.521495,568.958678,750.284399,20.662512,44.134365,248.43885,281.818675,42.869006999999996,220.006473,945.782672,100.8006,145.779017,7688.244457,49.728625,308.974954,513.268145,931.2950400000001,6.5954809999999995,7.304184,318.40731999999997,245.819395,550.765237,450.716502,531.043826,277.161683,1280.2160729999998,90.801133,1068.808921,387.761927,232.96677,24.573886,15.092731,0.0
