node,L-CORTEX_VISUAL,L-CORTEX_SOMATOSENSORY,L-CORTEX_MOTOR,L-CORTEX_AUDITORY,L-CORTEX_TEMPORAL_ASSOC,L-CORTEX_PREFRONTAL,L-CORTEX_INSULAR,L-CORTEX_GUSTATORY,L-CORTEX_RETROSPLENIAL,L-PARAHIPPOCAMPAL/ENTORHINAL,L-HIPPOCAMPAL FORMATION,L-AMYGDALA,L-BASALGANGLIA_STRIATUM,L-BASALGANGLIA_PALLIDUM,L-SEPTUM,L-BASAL_FOREBRAIN,L-THALAMUS,L-THALAMUS_VISUAL,L-THALAMUS_AUDITORY,L-HYPOTHALAMUS,L-EPITHALAMUS/HABENULA,L-MIDBRAIN,L-PONS,L-MEDULLA,L-CEREBELLUM,L-OLFACTORY,L-LIMBIC_CORTEX,L-WHITE_MATTER,L-VENTRICLES_CSF,L-CRANIAL_NERVES,L-ISOCORTEX_MASK,L-GLOBAL_MASKS,L-BACKGROUND,R-CORTEX_VISUAL,R-CORTEX_SOMATOSENSORY,R-CORTEX_MOTOR,R-CORTEX_AUDITORY,R-CORTEX_TEMPORAL_ASSOC,R-CORTEX_PREFRONTAL,R-CORTEX_INSULAR,R-CORTEX_GUSTATORY,R-CORTEX_RETROSPLENIAL,R-PARAHIPPOCAMPAL/ENTORHINAL,R-HIPPOCAMPAL FORMATION,R-AMYGDALA,R-BASALGANGLIA_STRIATUM,R-BASALGANGLIA_PALLIDUM,R-SEPTUM,R-BASAL_FOREBRAIN,R-THALAMUS,R-THALAMUS_VISUAL,R-THALAMUS_AUDITORY,R-HYPOTHALAMUS,R-EPITHALAMUS/HABENULA,R-MIDBRAIN,R-PONS,R-MEDULLA,R-CEREBELLUM,R-OLFACTORY,R-LIMBIC_CORTEX,R-WHITE_MATTER,R-VENTRICLES_CSF,R-CRANIAL_NERVES,R-ISOCORTEX_MASK,R-GLOBAL_MASKS,R-BACKGROUND
L-CORTEX_VISUAL,4572.788434,6411.651477,1479.804691,1376.568891,2653.3888500000003,444.958248,746.342483,172.145057,1686.746768,12258.596236,8775.352866,1356.082115,2879.796488,52.875699,158.987969,213.922396,6331.371814,143.779593,100.776513,1035.8605320000001,122.618438,2004.530947,2127.671398,1175.365339,3507.756555,7382.969347,861.196464,4508.479153,1436.9459040000002,1089.931289,6.8736820000000005,323.949683,0.0,1251.130929,1213.607057,629.658825,612.434657,244.114605,276.913609,82.346419,5.445652,353.57605,175.87429,2483.002991,236.151773,871.970839,24.110312,60.63001800000001,210.41167199999998,1365.994335,308.711463,57.698413,472.66961,10.299954,1420.428687,469.644257,415.242272,354.806444,1579.3442029999999,70.11167999999999,1517.305479,339.506149,517.818437,0.616447,2.9972909999999997,0.0
L-CORTEX_SOMATOSENSORY,6411.651477,18568.44805,8461.981604,2166.055763,3345.530852,2441.941133,8382.287364,2294.9563120000003,364.591611,10630.218046,2092.74961,2132.728661,9368.746552999999,39.02834,762.50132,283.451013,1527.038241,48.751013,13.12041,435.812502,477.79552,277.94262000000003,2599.4068270000002,157.006279,1083.21981,34088.798701,284.344544,2808.079303,549.644254,490.792686,25.638538,4.233179,0.0,440.250561,2526.573766,1258.7158960000002,351.836572,65.186506,1221.8980549999999,95.028471,7.899216,183.113073,103.513819,466.911043,87.28659300000001,939.029886,11.956472999999999,218.221769,163.430337,561.352344,13.06733,1.8143989999999999,193.771831,5.243429,141.480029,130.035818,91.072425,146.880884,1284.909862,49.223813,519.47837,135.105803,178.514316,0.0,2.334507,0.0
L-CORTEX_MOTOR,1479.804691,8461.981604,11538.851944,451.921227,314.254612,5867.820813,2067.618233,379.570754,358.155863,1063.188553,764.826274,1548.337648,9174.669019,53.558645,630.55521,540.26354,1533.026848,12.203139,6.032671,1166.506295,306.256898,566.200046,759.05241,323.565996,584.922768,19215.012988,246.75074999999998,2882.536133,413.987118,1362.268877,43.169079999999994,18.286342,0.0,298.411663,4301.608013,3373.920303,284.76468,117.09085999999999,4555.719171,165.281895,7.112964,158.789884,151.993515,256.540212,169.71406900000002,2417.509032,40.93665,454.58210900000006,677.4006079999999,1100.170955,13.512942,2.885984,486.293679,3.485239,466.343232,383.904377,205.370273,272.297052,1897.8145220000001,212.892213,1272.330234,142.638567,491.34336099999996,0.0,7.859606,0.0
L-CORTEX_AUDITORY,1376.568891,2166.055763,451.921227,272.086072,1122.5054730000002,34.95073,1024.1821160000002,318.65405300000003,56.887531,782.704794,96.237559,117.541632,457.793463,5.47333,29.198721999999997,10.210381,243.62831899999998,13.808854,1.28557,37.267108,24.478405,37.528006,60.475639,16.4717,108.81296300000001,2029.1771430000003,28.957653,277.848273,64.095011,20.761544,0.0,0.0,0.0,39.253568,52.735098,63.090590000000006,22.855226,4.236145,26.630553,0.278307,0.0,11.234307999999999,7.94458,61.552271,2.336281,11.145363,0.0,2.298351,6.186916,44.609708,8.553919,0.523036,18.604354999999998,0.0,17.538032,19.797248,7.591848000000001,11.120732,36.925966,0.0,41.91648,9.80717,19.441366000000002,0.0,0.0,0.0
L-CORTEX_TEMPORAL_ASSOC,2653.38885,3345.530852,314.254612,1122.505473,627.909296,38.075039000000004,857.707284,195.30125700000002,124.76239,1129.968361,402.362855,167.407958,367.206911,3.6956249999999997,27.735063999999998,20.453906,518.6438850000001,53.55868,17.701607,92.922387,15.943791999999998,283.472707,395.052095,918.961308,303.733467,1669.3624820000002,30.13829,719.286758,104.893625,107.381707,4.57147,13.287609,0.0,106.506212,54.732922,69.57440799999999,16.340494,116.783357,29.541153,3.601796,2.36116,53.99893,4.37197,71.868058,13.899769,55.49812899999999,4.030425,5.060682,11.494971,95.711544,4.402176,0.975942,38.955091,0.545321,244.070569,558.9620920000001,196.201124,304.435291,62.268003,5.90213,367.813271,41.669371,57.147664999999996,0.0,1.920737,0.0
L-CORTEX_PREFRONTAL,444.95824799999997,2441.9411330000003,5867.820813,34.95073,38.075039000000004,794.63081,71.091751,10.088353000000001,305.992002,106.86149999999999,84.56580799999999,91.112894,662.810059,11.755389,77.504485,59.368078,247.031524,1.57021,0.0,229.852639,6.8030159999999995,150.266831,148.975541,108.12004,172.754089,2666.325342,59.132898,541.952249,63.111484000000004,237.883418,1.34272,10.11267,0.0,312.09188,2701.329172,1743.052744,287.300654,116.556848,1240.398969,86.333812,7.80387,121.339489,203.349041,288.314534,177.914823,1431.5507870000001,19.485098,141.720166,264.222026,1176.190572,21.790464,5.399725,177.729357,6.02627,228.12489200000002,179.857981,105.289981,334.607864,1332.351114,134.855957,1191.283665,153.83196600000002,239.19,0.607559,4.884107,0.0
L-CORTEX_INSULAR,746.342483,8382.287364,2067.618233,1024.182116,857.707284,71.091751,266.20367999999996,102.07703000000001,36.088798999999995,1340.042514,248.788923,83.226027,888.994854,2.57903,109.980397,15.744378,201.872939,10.03321,6.193937,68.592043,28.82152,56.603868,247.623252,36.020992,120.411091,2323.921249,21.563228,308.660529,56.80404,82.536854,0.993582,1.0161310000000001,0.0,15.328624999999999,69.474338,97.608888,14.262761999999999,6.4528870000000005,144.63905599999998,4.87931,0.0,12.418255,5.371244,21.351072000000002,16.838304,48.861794,6.729979999999999,47.52077,16.57867,122.33943,2.10373,0.0,48.321887000000004,0.662469,45.412397999999996,28.997817,17.848407,14.85969,40.021057,6.11585,63.118475000000004,12.00971,39.634421,0.0,0.0,0.0
L-CORTEX_GUSTATORY,172.145057,2294.956312,379.57075399999997,318.654053,195.301257,10.088353,102.07703,9.17694,5.76661,266.373692,30.984259,5.897259999999999,63.421166,2.22234,7.1057,0.0,5.247493,2.0594,0.0,3.43038,8.615748,1.429586,32.568701,0.0,26.8786,491.747903,6.19628,38.372332,1.89735,3.5001889999999998,0.0,0.0,0.0,2.328987,10.170119999999999,6.905149,0.0,0.0,3.35739,0.419284,0.0,1.31138,0.0,4.703659999999999,0.433492,3.464473,0.0,4.11397,1.80328,3.49835,0.0,0.0,0.0,0.0,1.32275,4.663195,2.31583,0.631679,6.1685110000000005,0.0,1.24689,0.0,2.04339,0.0,0.0,0.0
L-CORTEX_RETROSPLENIAL,1686.746768,364.591611,358.155863,56.887531,124.76239,305.992002,36.088798999999995,5.76661,1268.301616,565.626326,1669.836593,357.202124,465.365368,23.980504,43.657752,38.485357,1116.622163,35.571403000000004,50.933977,459.560653,16.406989,1552.0530669999998,1407.220601,1405.376468,753.3177919999999,1046.014171,58.26732,1881.7848960000001,670.699187,800.302212,5.5921,93.69379699999999,0.0,1472.392406,3113.532272,258.156433,519.697513,87.80123,228.67139,71.986183,6.033265,489.689729,91.134313,1280.04235,98.594708,363.517178,9.290875,13.784876,78.35877500000001,356.452059,105.970818,16.690812,163.522175,2.396181,463.230497,237.769206,253.983882,157.141807,773.620034,24.550868,664.771234,139.649132,185.74245499999998,1.68106,4.30966,0.0
L-PARAHIPPOCAMPAL/ENTORHINAL,12258.596236,10630.218046,1063.188553,782.704794,1129.968361,106.86149999999999,1340.042514,266.373692,565.6263260000001,802.6974,2275.74055,800.4514209999999,1660.15187,45.735118,88.171326,80.394205,1565.5577580000001,202.01744,48.720063,142.109781,57.351741,883.826041,219.320621,100.381182,848.26803,6124.835696,84.259242,1788.069683,199.15766399999998,630.344073,2.829056,6.534875,0.0,92.717996,162.240109,211.166325,56.304483,22.992033,65.279353,12.972341,2.34648,60.148554,21.1218,168.66877300000002,40.712503999999996,104.412516,22.583981,13.614965,17.205717,180.675805,7.5226869999999995,1.847968,75.93894,3.082084,134.825227,57.06949,52.375099999999996,105.015136,183.588145,6.019538,190.379651,29.804194,44.026298,0.0,0.938165,0.0
