node,L-CORTEX_VISUAL,L-CORTEX_SOMATOSENSORY,L-CORTEX_MOTOR,L-CORTEX_AUDITORY,L-CORTEX_TEMPORAL_ASSOC,L-CORTEX_PREFRONTAL,L-CORTEX_INSULAR,L-CORTEX_GUSTATORY,L-CORTEX_RETROSPLENIAL,L-PARAHIPPOCAMPAL/ENTORHINAL,L-HIPPOCAMPAL FORMATION,L-AMYGDALA,L-BASALGANGLIA_STRIATUM,L-BASALGANGLIA_PALLIDUM,L-SEPTUM,L-BASAL_FOREBRAIN,L-THALAMUS,L-THALAMUS_VISUAL,L-THALAMUS_AUDITORY,L-HYPOTHALAMUS,L-EPITHALAMUS/HABENULA,L-MIDBRAIN,L-PONS,L-MEDULLA,L-CEREBELLUM,L-OLFACTORY,L-LIMBIC_CORTEX,L-WHITE_MATTER,L-VENTRICLES_CSF,L-CRANIAL_NERVES,L-ISOCORTEX_MASK,L-GLOBAL_MASKS,L-BACKGROUND,R-CORTEX_VISUAL,R-CORTEX_SOMATOSENSORY,R-CORTEX_MOTOR,R-CORTEX_AUDITORY,R-CORTEX_TEMPORAL_ASSOC,R-CORTEX_PREFRONTAL,R-CORTEX_INSULAR,R-CORTEX_GUSTATORY,R-CORTEX_RETROSPLENIAL,R-PARAHIPPOCAMPAL/ENTORHINAL,R-HIPPOCAMPAL FORMATION,R-AMYGDALA,R-BASALGANGLIA_STRIATUM,R-BASALGANGLIA_PALLIDUM,R-SEPTUM,R-BASAL_FOREBRAIN,R-THALAMUS,R-THALAMUS_VISUAL,R-THALAMUS_AUDITORY,R-HYPOTHALAMUS,R-EPITHALAMUS/HABENULA,R-MIDBRAIN,R-PONS,R-MEDULLA,R-CEREBELLUM,R-OLFACTORY,R-LIMBIC_CORTEX,R-WHITE_MATTER,R-VENTRICLES_CSF,R-CRANIAL_NERVES,R-ISOCORTEX_MASK,R-GLOBAL_MASKS,R-BACKGROUND
L-CORTEX_VISUAL,4215.61593,5778.306381,6587.835159,2874.041332,2034.031314,3003.839648,2398.929849,693.247272,2184.394653,5309.888565,2901.456526,324.313639,2908.902846,64.65884700000001,96.23149299999999,155.214165,4402.711233,460.58599100000004,107.378119,288.32337,138.610769,3479.713945,1752.749204,1176.241253,3428.802629,1831.294821,375.937995,3257.276992,892.878974,527.582989,15.65193,119.06308800000001,0.0,653.276575,684.181018,1484.657845,203.160511,321.719924,1105.183818,105.375601,53.885646,539.666459,192.610597,617.0310049999999,136.31645500000002,885.834517,10.307115,39.978505999999996,86.259387,491.422872,16.408144,43.163781,222.666609,30.166138,957.893521,465.584709,308.67121000000003,607.1677159999999,323.177991,21.394616,497.581765,152.331795,187.391341,0.0,33.364464,0.0
L-CORTEX_SOMATOSENSORY,5778.306381,8944.144128,16428.320632,1777.142826,2817.377314,2225.841571,2068.949064,851.482787,4458.289315,3003.52594,2845.7845629999997,1724.162431,6237.689256999999,362.005313,119.24481499999999,368.853118,5059.405463,1004.3727,16.832518,701.225633,906.674533,5110.262816,1012.403684,549.55357,4673.604084,6042.702723,603.261705,6404.349458000001,1402.387097,1291.3769860000002,44.021974,86.574724,0.0,2203.360334,2526.718114,2329.69071,611.193959,586.300872,919.294025,294.552999,88.187769,1913.7859,423.993222,2095.715387,323.905106,1487.7897970000001,14.455578,33.357734,140.47132399999998,1372.272381,65.771933,107.909066,582.995973,61.270701,1815.6183800000001,1114.601569,376.82745,1003.719387,824.844053,95.53834599999999,1351.4379040000001,312.64522999999997,516.301313,5.755376,49.573176000000004,0.0
L-CORTEX_MOTOR,6587.835159,16428.320632,2380.359408,7089.7184720000005,4663.610167,1739.997753,185.465738,17.795403,1380.368262,4028.501318,1187.7533660000001,95.723036,1127.944232,9.480967,412.75113899999997,100.09695500000001,1326.820911,25.40089,22.338898999999998,214.269462,35.919314,2344.0524219999998,360.24854,235.28292199999999,2376.735327,294.793746,147.545619,1689.678654,461.120424,215.255435,0.0,60.206830999999994,0.0,600.988833,1845.29122,6400.907904,423.870522,399.2604,981.88811,371.119219,104.675472,306.032779,365.470935,574.942414,214.124902,1761.397947,23.465288,541.520314,23.584511,1908.619579,39.767134,78.577226,323.438488,32.437629,668.397683,626.689254,119.897221,441.522429,877.66568,61.451573999999994,738.682585,306.158578,152.121653,1.80891,8.937819000000001,0.0
L-CORTEX_AUDITORY,2874.0413320000002,1777.142826,7089.718472,175.260148,1802.688623,868.590162,1076.975112,235.8553,1392.377263,1832.55659,1284.590187,189.232119,1606.1667120000002,4.155231,11.571513,35.158691000000005,1252.688146,251.30257,14.151680000000002,44.243271,73.59806400000001,3152.19706,542.627111,333.769311,3269.99143,660.4344090000001,301.050034,1755.4739200000001,522.820566,262.55785299999997,9.400771,72.361332,0.0,370.744527,271.676527,415.233025,55.947928,108.13229100000001,277.178023,33.025611,9.911767000000001,294.525111,49.976465,298.272584,44.253075,165.830434,6.123083,4.93804,13.659913,155.186128,4.289762,16.5567,51.725787,10.974447999999999,418.50766699999997,149.059483,147.262297,389.40817599999997,69.466027,14.316816,242.34849,69.640488,83.78051500000001,3.599407,7.908608,0.0
L-CORTEX_TEMPORAL_ASSOC,2034.031314,2817.377314,4663.610167,1802.688623,655.035396,798.795445,1088.796343,161.257529,389.87167800000003,3822.673149,1342.644192,245.274079,3036.1035209999995,21.129034,57.610629,81.24435,2047.047934,511.01922,107.960829,68.86783199999999,187.346104,1849.302409,932.004412,899.293413,3518.481432,1030.438655,263.615238,2285.483779,946.816579,285.315651,19.942419,383.228103,0.0,205.35573200000002,268.911976,177.60394200000002,93.326655,90.581958,122.21732399999999,35.28839,10.929723,141.857066,68.4456,214.02836399999998,44.717954999999996,290.30619,10.061121,18.560742,25.785698999999997,170.277097,11.111634,19.487558,67.271666,11.540741,422.836641,228.733135,210.103257,347.505157,136.273821,7.548325,214.311272,82.903919,83.186022,0.924509,18.720777000000002,0.0
L-CORTEX_PREFRONTAL,3003.8396479999997,2225.841571,1739.9977529999999,868.590162,798.795445,55.194648,225.686751,4.286499,515.927485,1111.424668,815.885534,85.375422,116.90135699999999,3.867262,363.57247399999994,27.293513,499.221469,17.88369,13.581285999999999,94.390351,8.585443,1457.661894,360.820601,282.091349,1169.993139,273.861478,52.715245,722.789171,601.286291,153.882466,1.900789,53.119794999999996,0.0,283.301391,864.3663690000001,2748.200197,216.302019,227.525265,1119.260217,190.25504,52.438374,136.843157,234.210636,267.060786,145.761491,985.8535929999999,4.429251000000001,497.719961,15.365563,856.231142,12.492951,48.930402,109.265188,13.104044,481.594084,322.419027,135.380202,389.829832,458.490139,39.453805,396.512899,197.07835699999998,103.664466,1.22938,17.6874,0.0
L-CORTEX_INSULAR,2398.929849,2068.949064,185.46573800000002,1076.975112,1088.796343,225.686751,1618.0488799999998,119.06445199999999,26.650732,1791.994069,350.847957,86.55246700000001,1881.7631900000001,161.61529,37.943129,92.934327,698.561817,60.67958,5.21982,232.82528399999998,100.63974700000001,423.16925000000003,526.09098,423.528718,1028.7360410000001,893.9412,59.32934,1425.540795,293.522722,189.61042099999997,12.01808,48.398431,0.0,94.872921,200.463759,166.571829,54.542818,72.12613,409.68424600000003,109.94989,31.266706000000003,28.0119,75.578468,73.798609,68.77570300000001,696.680549,8.372928,125.466173,28.946814,250.194366,10.345022,22.741972000000004,96.267491,11.722983,263.05366,235.615665,142.319196,142.682638,316.327003,17.881128,146.48436900000002,90.624446,49.671745,0.0,8.535699,0.0
L-CORTEX_GUSTATORY,693.247272,851.482787,17.795403,235.8553,161.257529,4.286499,119.064452,18.455106,13.585685,88.63968799999999,22.968980000000002,26.263970999999998,636.731669,71.970117,4.33755,17.922644000000002,99.054531,0.0,1.72321,66.981729,3.170418,94.005279,63.36151099999999,51.343484000000004,119.919313,91.59065999999999,16.744974,105.024009,18.309758,56.016519,0.0,3.12407,0.0,41.040238,101.389957,12.222482999999999,41.724611,37.045383,17.292267000000002,32.082244,18.423147,10.994813,31.186429,44.735023999999996,13.593662,248.479921,0.0,18.533939999999998,12.149809999999999,182.556997,7.036347,14.019960000000001,51.755705,5.845809,86.485639,74.694036,18.076949,27.449173,103.342584,1.692083,47.481627,23.419528,23.669491999999998,0.0,1.091881,0.0
L-CORTEX_RETROSPLENIAL,2184.394653,4458.289315,1380.368262,1392.377263,389.871678,515.927485,26.650731999999998,13.585685000000002,1216.579392,342.011232,355.797995,264.711715,172.655712,6.728205,30.231504000000005,14.286798000000001,354.422326,8.00758,4.979851,87.98321,13.69533,2524.456287,197.078209,112.620398,782.097808,63.26799,76.450373,382.947062,232.54755600000001,163.932645,0.0,14.049160999999998,0.0,822.5651280000001,1315.611249,3222.14849,254.223411,305.038542,825.239369,128.744417,31.256121,396.787795,174.539829,917.056506,111.94408499999999,563.690879,8.85909,8.525905999999999,32.463978,577.486941,18.863982,28.332378,169.109884,28.426707,900.930923,251.668202,120.328499,464.071099,256.273482,61.163441,474.06528000000003,118.448008,274.28209599999997,1.11393,16.362913,0.0
L-PARAHIPPOCAMPAL/ENTORHINAL,5309.888565,3003.52594,4028.501318,1832.5565900000001,3822.673149,1111.424668,1791.994069,88.639688,342.011232,2637.3540399999997,4569.321089,404.56810199999995,7364.839927,44.114373,152.32464,643.7858530000001,3757.2733319999998,545.6549200000001,152.27656100000002,210.300496,632.333492,1789.999085,1544.283299,1171.93209,1978.457275,6150.592062,381.6047,4200.4769909999995,927.5802160000001,505.18852000000004,48.314375,146.137736,0.0,299.00935400000003,363.552678,260.69615,121.968687,127.468287,248.51045,117.060288,32.334955,148.683384,103.520197,263.825735,70.699872,948.143298,5.773939,94.090543,130.292474,346.378505,13.366501,35.027313,147.347418,20.722835,587.326286,519.1570830000001,350.446626,365.11400699999996,342.500783,18.18155,276.786967,109.744017,127.703463,0.375694,28.012063,0.0
